Wavelength,Intensity,
250.01,4.24E-04,
250.23,3.18E-04,
250.46,3.41E-04,
250.69,3.00E-04,
250.92,2.76E-04,
251.15,2.11E-04,
251.38,2.30E-04,
251.6,2.57E-04,
251.83,2.51E-04,
252.06,2.80E-04,
252.29,3.08E-04,
252.52,3.15E-04,
252.75,2.90E-04,
252.97,3.16E-04,
253.2,3.37E-04,
253.43,3.58E-04,
253.66,3.67E-04,
253.89,3.48E-04,
254.11,3.22E-04,
254.34,3.02E-04,
254.57,3.31E-04,
254.8,3.37E-04,
255.03,3.57E-04,
255.25,4.29E-04,
255.48,4.39E-04,
255.71,4.47E-04,
255.94,4.72E-04,
256.17,5.12E-04,
256.39,5.10E-04,
256.62,5.40E-04,
256.85,5.60E-04,
257.08,6.02E-04,
257.31,6.08E-04,
257.53,5.67E-04,
257.76,5.46E-04,
257.99,5.60E-04,
258.22,5.84E-04,
258.45,6.44E-04,
258.67,6.49E-04,
258.9,6.84E-04,
259.13,7.07E-04,
259.36,6.89E-04,
259.58,6.69E-04,
259.81,7.45E-04,
260.04,7.72E-04,
260.27,8.11E-04,
260.5,8.35E-04,
260.72,8.32E-04,
260.95,8.01E-04,
261.18,8.48E-04,
261.41,8.31E-04,
261.63,8.29E-04,
261.86,8.39E-04,
262.09,8.82E-04,
262.32,8.13E-04,
262.54,8.35E-04,
262.77,8.38E-04,
263,8.31E-04,
263.23,8.68E-04,
263.45,9.08E-04,
263.68,8.96E-04,
263.91,9.34E-04,
264.14,9.86E-04,
264.36,9.68E-04,
264.59,9.95E-04,
264.82,1.00E-03,
265.05,1.02E-03,
265.27,1.01E-03,
265.5,1.02E-03,
265.73,1.06E-03,
265.96,1.07E-03,
266.18,1.04E-03,
266.41,1.06E-03,
266.64,1.09E-03,
266.87,1.06E-03,
267.09,1.06E-03,
267.32,1.13E-03,
267.55,1.11E-03,
267.77,1.11E-03,
268,1.13E-03,
268.23,1.16E-03,
268.46,1.14E-03,
268.68,1.14E-03,
268.91,1.16E-03,
269.14,1.12E-03,
269.37,1.13E-03,
269.59,1.15E-03,
269.82,1.17E-03,
270.05,1.18E-03,
270.27,1.19E-03,
270.5,1.19E-03,
270.73,1.16E-03,
270.95,1.14E-03,
271.18,1.10E-03,
271.41,1.13E-03,
271.64,1.11E-03,
271.86,1.12E-03,
272.09,1.10E-03,
272.32,1.11E-03,
272.54,1.09E-03,
272.77,1.07E-03,
273,1.06E-03,
273.22,1.06E-03,
273.45,1.08E-03,
273.68,1.09E-03,
273.91,1.09E-03,
274.13,1.10E-03,
274.36,1.11E-03,
274.59,1.09E-03,
274.81,1.08E-03,
275.04,1.06E-03,
275.27,1.05E-03,
275.49,1.07E-03,
275.72,1.08E-03,
275.95,1.06E-03,
276.17,1.05E-03,
276.4,1.02E-03,
276.63,1.01E-03,
276.85,9.63E-04,
277.08,9.86E-04,
277.31,1.00E-03,
277.53,1.01E-03,
277.76,9.88E-04,
277.99,9.54E-04,
278.21,9.20E-04,
278.44,8.89E-04,
278.67,8.79E-04,
278.89,8.56E-04,
279.12,8.69E-04,
279.35,8.60E-04,
279.57,8.71E-04,
279.8,8.60E-04,
280.03,8.26E-04,
280.25,8.21E-04,
280.48,8.26E-04,
280.71,8.15E-04,
280.93,8.21E-04,
281.16,8.38E-04,
281.38,8.16E-04,
281.61,7.83E-04,
281.84,7.50E-04,
282.06,7.33E-04,
282.29,7.19E-04,
282.52,7.15E-04,
282.74,7.36E-04,
282.97,7.52E-04,
283.2,7.43E-04,
283.42,7.41E-04,
283.65,7.03E-04,
283.87,6.94E-04,
284.1,6.79E-04,
284.33,6.53E-04,
284.55,6.63E-04,
284.78,6.70E-04,
285.01,6.66E-04,
285.23,6.92E-04,
285.46,7.28E-04,
285.68,7.41E-04,
285.91,7.65E-04,
286.14,7.54E-04,
286.36,7.59E-04,
286.59,7.51E-04,
286.81,7.32E-04,
287.04,7.45E-04,
287.27,7.42E-04,
287.49,7.37E-04,
287.72,7.18E-04,
287.95,7.24E-04,
288.17,7.37E-04,
288.4,7.41E-04,
288.62,7.13E-04,
288.85,7.42E-04,
289.07,7.45E-04,
289.3,7.23E-04,
289.53,7.41E-04,
289.75,7.45E-04,
289.98,7.16E-04,
290.2,7.06E-04,
290.43,7.04E-04,
290.66,6.85E-04,
290.88,7.34E-04,
291.11,7.48E-04,
291.33,7.50E-04,
291.56,7.57E-04,
291.79,7.65E-04,
292.01,7.31E-04,
292.24,7.54E-04,
292.46,7.46E-04,
292.69,7.49E-04,
292.91,7.47E-04,
293.14,7.33E-04,
293.37,7.28E-04,
293.59,7.25E-04,
293.82,7.04E-04,
294.04,6.92E-04,
294.27,7.02E-04,
294.49,6.96E-04,
294.72,6.89E-04,
294.94,7.02E-04,
295.17,6.99E-04,
295.4,6.74E-04,
295.62,6.75E-04,
295.85,6.71E-04,
296.07,6.69E-04,
296.3,6.73E-04,
296.52,6.73E-04,
296.75,6.69E-04,
296.97,6.80E-04,
297.2,6.68E-04,
297.43,6.86E-04,
297.65,7.00E-04,
297.88,6.95E-04,
298.1,6.98E-04,
298.33,6.89E-04,
298.55,6.48E-04,
298.78,6.30E-04,
299,6.35E-04,
299.23,6.12E-04,
299.45,6.11E-04,
299.68,6.37E-04,
299.9,6.63E-04,
300.13,6.60E-04,
300.35,6.81E-04,
300.58,6.64E-04,
300.81,6.73E-04,
301.03,6.41E-04,
301.26,6.20E-04,
301.48,6.09E-04,
301.71,6.19E-04,
301.93,5.96E-04,
302.16,5.93E-04,
302.38,5.92E-04,
302.61,6.00E-04,
302.83,5.97E-04,
303.06,5.87E-04,
303.28,5.98E-04,
303.51,5.92E-04,
303.73,5.70E-04,
303.96,5.60E-04,
304.18,5.62E-04,
304.41,5.38E-04,
304.63,5.27E-04,
304.86,5.36E-04,
305.08,5.32E-04,
305.31,5.35E-04,
305.53,5.42E-04,
305.76,5.33E-04,
305.98,5.13E-04,
306.21,5.18E-04,
306.43,5.02E-04,
306.66,5.08E-04,
306.88,5.31E-04,
307.11,5.34E-04,
307.33,5.44E-04,
307.56,5.65E-04,
307.78,5.58E-04,
308,5.30E-04,
308.23,5.29E-04,
308.45,5.15E-04,
308.68,4.88E-04,
308.9,4.66E-04,
309.13,4.54E-04,
309.35,4.44E-04,
309.58,4.53E-04,
309.8,4.64E-04,
310.03,4.73E-04,
310.25,4.85E-04,
310.48,4.85E-04,
310.7,4.71E-04,
310.93,4.47E-04,
311.15,4.40E-04,
311.37,4.36E-04,
311.6,4.44E-04,
311.82,4.35E-04,
312.05,4.36E-04,
312.27,4.53E-04,
312.5,4.52E-04,
312.72,4.34E-04,
312.95,4.28E-04,
313.17,4.21E-04,
313.4,3.96E-04,
313.62,3.97E-04,
313.84,3.94E-04,
314.07,3.98E-04,
314.29,3.89E-04,
314.52,3.88E-04,
314.74,3.85E-04,
314.97,3.95E-04,
315.19,3.83E-04,
315.41,3.91E-04,
315.64,4.02E-04,
315.86,3.93E-04,
316.09,3.77E-04,
316.31,3.86E-04,
316.54,3.72E-04,
316.76,3.57E-04,
316.98,3.64E-04,
317.21,3.65E-04,
317.43,3.62E-04,
317.66,3.67E-04,
317.88,3.65E-04,
318.11,3.51E-04,
318.33,3.45E-04,
318.55,3.32E-04,
318.78,3.39E-04,
319,3.33E-04,
319.23,3.41E-04,
319.45,3.35E-04,
319.67,3.47E-04,
319.9,3.54E-04,
320.12,3.72E-04,
320.35,3.59E-04,
320.57,3.67E-04,
320.79,3.58E-04,
321.02,3.52E-04,
321.24,3.40E-04,
321.47,3.50E-04,
321.69,3.45E-04,
321.91,3.38E-04,
322.14,3.43E-04,
322.36,3.43E-04,
322.59,3.32E-04,
322.81,3.32E-04,
323.03,3.40E-04,
323.26,3.20E-04,
323.48,3.12E-04,
323.7,3.21E-04,
323.93,3.20E-04,
324.15,3.20E-04,
324.38,3.22E-04,
324.6,3.33E-04,
324.82,3.37E-04,
325.05,3.46E-04,
325.27,3.46E-04,
325.49,3.49E-04,
325.72,3.47E-04,
325.94,3.38E-04,
326.16,3.26E-04,
326.39,3.18E-04,
326.61,3.23E-04,
326.84,3.28E-04,
327.06,3.27E-04,
327.28,3.37E-04,
327.51,3.31E-04,
327.73,3.33E-04,
327.95,3.18E-04,
328.18,3.29E-04,
328.4,3.25E-04,
328.62,3.25E-04,
328.85,3.21E-04,
329.07,3.29E-04,
329.29,3.26E-04,
329.52,3.41E-04,
329.74,3.53E-04,
329.96,3.42E-04,
330.19,3.38E-04,
330.41,3.30E-04,
330.63,3.15E-04,
330.86,3.14E-04,
331.08,3.22E-04,
331.3,3.19E-04,
331.53,3.22E-04,
331.75,3.21E-04,
331.97,3.30E-04,
332.2,3.29E-04,
332.42,3.33E-04,
332.64,3.34E-04,
332.87,3.48E-04,
333.09,3.50E-04,
333.31,3.53E-04,
333.54,3.61E-04,
333.76,3.54E-04,
333.98,3.44E-04,
334.21,3.32E-04,
334.43,3.52E-04,
334.65,3.55E-04,
334.88,3.71E-04,
335.1,3.67E-04,
335.32,3.64E-04,
335.54,3.48E-04,
335.77,3.40E-04,
335.99,3.31E-04,
336.21,3.34E-04,
336.44,3.48E-04,
336.66,3.49E-04,
336.88,3.51E-04,
337.11,3.51E-04,
337.33,3.61E-04,
337.55,3.48E-04,
337.77,3.42E-04,
338,3.36E-04,
338.22,3.54E-04,
338.44,3.44E-04,
338.67,3.61E-04,
338.89,3.74E-04,
339.11,3.91E-04,
339.33,3.85E-04,
339.56,3.99E-04,
339.78,3.94E-04,
340,3.97E-04,
340.23,3.82E-04,
340.45,3.80E-04,
340.67,3.67E-04,
340.89,3.66E-04,
341.12,3.60E-04,
341.34,3.76E-04,
341.56,3.77E-04,
341.78,3.84E-04,
342.01,3.91E-04,
342.23,3.95E-04,
342.45,3.94E-04,
342.67,3.97E-04,
342.9,4.00E-04,
343.12,3.97E-04,
343.34,4.09E-04,
343.57,4.08E-04,
343.79,4.20E-04,
344.01,4.23E-04,
344.23,4.29E-04,
344.46,4.37E-04,
344.68,4.43E-04,
344.9,4.48E-04,
345.12,4.50E-04,
345.34,4.58E-04,
345.57,4.52E-04,
345.79,4.51E-04,
346.01,4.53E-04,
346.23,4.60E-04,
346.46,4.61E-04,
346.68,4.64E-04,
346.9,4.70E-04,
347.12,4.71E-04,
347.35,4.69E-04,
347.57,4.67E-04,
347.79,4.70E-04,
348.01,4.81E-04,
348.24,4.73E-04,
348.46,4.83E-04,
348.68,4.95E-04,
348.9,4.94E-04,
349.12,4.93E-04,
349.35,5.05E-04,
349.57,5.04E-04,
349.79,5.00E-04,
350.01,5.01E-04,
350.23,4.99E-04,
350.46,5.05E-04,
350.68,5.07E-04,
350.9,5.17E-04,
351.12,5.15E-04,
351.35,5.21E-04,
351.57,5.20E-04,
351.79,5.15E-04,
352.01,5.19E-04,
352.23,5.23E-04,
352.46,5.26E-04,
352.68,5.22E-04,
352.9,5.30E-04,
353.12,5.31E-04,
353.34,5.43E-04,
353.56,5.59E-04,
353.79,5.71E-04,
354.01,5.92E-04,
354.23,5.98E-04,
354.45,5.98E-04,
354.67,6.08E-04,
354.9,6.14E-04,
355.12,6.03E-04,
355.34,6.02E-04,
355.56,6.04E-04,
355.78,5.89E-04,
356,6.05E-04,
356.23,6.17E-04,
356.45,6.27E-04,
356.67,6.41E-04,
356.89,6.51E-04,
357.11,6.47E-04,
357.33,6.35E-04,
357.56,6.33E-04,
357.78,6.31E-04,
358,6.34E-04,
358.22,6.41E-04,
358.44,6.57E-04,
358.66,6.80E-04,
358.89,6.93E-04,
359.11,6.93E-04,
359.33,6.86E-04,
359.55,6.85E-04,
359.77,6.88E-04,
359.99,6.89E-04,
360.22,7.00E-04,
360.44,7.08E-04,
360.66,7.09E-04,
360.88,7.04E-04,
361.1,7.15E-04,
361.32,7.08E-04,
361.54,7.02E-04,
361.77,7.24E-04,
361.99,7.25E-04,
362.21,7.24E-04,
362.43,7.35E-04,
362.65,7.54E-04,
362.87,7.48E-04,
363.09,7.65E-04,
363.31,7.81E-04,
363.54,7.95E-04,
363.76,8.19E-04,
363.98,8.41E-04,
364.2,8.60E-04,
364.42,8.66E-04,
364.64,8.61E-04,
364.86,8.56E-04,
365.08,8.46E-04,
365.31,8.27E-04,
365.53,8.17E-04,
365.75,8.26E-04,
365.97,8.21E-04,
366.19,8.29E-04,
366.41,8.32E-04,
366.63,8.36E-04,
366.85,8.31E-04,
367.07,8.27E-04,
367.3,8.31E-04,
367.52,8.24E-04,
367.74,8.30E-04,
367.96,8.47E-04,
368.18,8.63E-04,
368.4,8.69E-04,
368.62,8.75E-04,
368.84,8.65E-04,
369.06,8.56E-04,
369.28,8.62E-04,
369.5,8.61E-04,
369.73,8.72E-04,
369.95,8.81E-04,
370.17,8.86E-04,
370.39,8.86E-04,
370.61,8.95E-04,
370.83,8.95E-04,
371.05,9.08E-04,
371.27,9.00E-04,
371.49,8.96E-04,
371.71,8.91E-04,
371.93,8.97E-04,
372.15,8.95E-04,
372.37,9.23E-04,
372.6,9.23E-04,
372.82,9.35E-04,
373.04,9.54E-04,
373.26,9.65E-04,
373.48,9.58E-04,
373.7,9.69E-04,
373.92,9.71E-04,
374.14,9.62E-04,
374.36,9.50E-04,
374.58,9.53E-04,
374.8,9.68E-04,
375.02,9.89E-04,
375.24,9.91E-04,
375.46,1.01E-03,
375.68,1.01E-03,
375.9,1.01E-03,
376.12,9.84E-04,
376.35,9.89E-04,
376.57,9.89E-04,
376.79,9.80E-04,
377.01,9.85E-04,
377.23,9.92E-04,
377.45,1.00E-03,
377.67,1.00E-03,
377.89,1.01E-03,
378.11,1.02E-03,
378.33,1.02E-03,
378.55,1.02E-03,
378.77,1.03E-03,
378.99,1.04E-03,
379.21,1.04E-03,
379.43,1.05E-03,
379.65,1.05E-03,
379.87,1.05E-03,
380.09,1.05E-03,
380.31,1.06E-03,
380.53,1.06E-03,
380.75,1.08E-03,
380.97,1.09E-03,
381.19,1.10E-03,
381.41,1.11E-03,
381.63,1.13E-03,
381.85,1.13E-03,
382.07,1.12E-03,
382.29,1.14E-03,
382.51,1.14E-03,
382.73,1.14E-03,
382.95,1.16E-03,
383.17,1.17E-03,
383.39,1.17E-03,
383.61,1.18E-03,
383.83,1.20E-03,
384.05,1.21E-03,
384.27,1.22E-03,
384.49,1.24E-03,
384.71,1.25E-03,
384.93,1.27E-03,
385.15,1.28E-03,
385.37,1.32E-03,
385.59,1.32E-03,
385.81,1.32E-03,
386.03,1.33E-03,
386.25,1.33E-03,
386.47,1.33E-03,
386.69,1.33E-03,
386.91,1.34E-03,
387.13,1.34E-03,
387.35,1.35E-03,
387.57,1.37E-03,
387.79,1.38E-03,
388.01,1.40E-03,
388.23,1.41E-03,
388.45,1.43E-03,
388.67,1.44E-03,
388.89,1.45E-03,
389.11,1.46E-03,
389.33,1.48E-03,
389.55,1.49E-03,
389.77,1.49E-03,
389.99,1.51E-03,
390.2,1.52E-03,
390.42,1.53E-03,
390.64,1.54E-03,
390.86,1.55E-03,
391.08,1.54E-03,
391.3,1.55E-03,
391.52,1.56E-03,
391.74,1.56E-03,
391.96,1.58E-03,
392.18,1.60E-03,
392.4,1.61E-03,
392.62,1.62E-03,
392.84,1.64E-03,
393.06,1.63E-03,
393.28,1.64E-03,
393.5,1.66E-03,
393.72,1.66E-03,
393.93,1.67E-03,
394.15,1.70E-03,
394.37,1.71E-03,
394.59,1.73E-03,
394.81,1.75E-03,
395.03,1.77E-03,
395.25,1.78E-03,
395.47,1.81E-03,
395.69,1.80E-03,
395.91,1.80E-03,
396.13,1.82E-03,
396.35,1.82E-03,
396.57,1.83E-03,
396.78,1.85E-03,
397,1.87E-03,
397.22,1.87E-03,
397.44,1.88E-03,
397.66,1.89E-03,
397.88,1.91E-03,
398.1,1.90E-03,
398.32,1.92E-03,
398.54,1.92E-03,
398.76,1.93E-03,
398.98,1.95E-03,
399.19,1.98E-03,
399.41,1.99E-03,
399.63,2.01E-03,
399.85,2.01E-03,
400.07,2.02E-03,
400.29,2.04E-03,
400.51,2.04E-03,
400.73,2.06E-03,
400.95,2.08E-03,
401.16,2.10E-03,
401.38,2.10E-03,
401.6,2.14E-03,
401.82,2.15E-03,
402.04,2.16E-03,
402.26,2.19E-03,
402.48,2.22E-03,
402.7,2.30E-03,
402.91,2.42E-03,
403.13,2.56E-03,
403.35,2.65E-03,
403.57,2.72E-03,
403.79,2.71E-03,
404.01,2.64E-03,
404.23,2.53E-03,
404.45,2.43E-03,
404.66,2.32E-03,
404.88,2.23E-03,
405.1,2.19E-03,
405.32,2.15E-03,
405.54,2.15E-03,
405.76,2.18E-03,
405.98,2.24E-03,
406.19,2.27E-03,
406.41,2.32E-03,
406.63,2.38E-03,
406.85,2.43E-03,
407.07,2.46E-03,
407.29,2.47E-03,
407.5,2.50E-03,
407.72,2.50E-03,
407.94,2.52E-03,
408.16,2.53E-03,
408.38,2.56E-03,
408.6,2.57E-03,
408.81,2.60E-03,
409.03,2.62E-03,
409.25,2.63E-03,
409.47,2.66E-03,
409.69,2.68E-03,
409.91,2.70E-03,
410.12,2.73E-03,
410.34,2.76E-03,
410.56,2.77E-03,
410.78,2.82E-03,
411,2.82E-03,
411.22,2.83E-03,
411.43,2.85E-03,
411.65,2.89E-03,
411.87,2.88E-03,
412.09,2.93E-03,
412.31,2.94E-03,
412.52,2.95E-03,
412.74,2.98E-03,
412.96,3.00E-03,
413.18,2.99E-03,
413.4,3.03E-03,
413.61,3.04E-03,
413.83,3.07E-03,
414.05,3.11E-03,
414.27,3.14E-03,
414.49,3.15E-03,
414.7,3.19E-03,
414.92,3.19E-03,
415.14,3.20E-03,
415.36,3.22E-03,
415.58,3.24E-03,
415.79,3.25E-03,
416.01,3.29E-03,
416.23,3.32E-03,
416.45,3.34E-03,
416.67,3.36E-03,
416.88,3.38E-03,
417.1,3.40E-03,
417.32,3.42E-03,
417.54,3.44E-03,
417.75,3.45E-03,
417.97,3.48E-03,
418.19,3.49E-03,
418.41,3.52E-03,
418.63,3.55E-03,
418.84,3.58E-03,
419.06,3.60E-03,
419.28,3.61E-03,
419.5,3.64E-03,
419.71,3.65E-03,
419.93,3.66E-03,
420.15,3.68E-03,
420.37,3.70E-03,
420.58,3.73E-03,
420.8,3.75E-03,
421.02,3.79E-03,
421.24,3.84E-03,
421.45,3.86E-03,
421.67,3.87E-03,
421.89,3.91E-03,
422.11,3.90E-03,
422.32,3.91E-03,
422.54,3.93E-03,
422.76,3.95E-03,
422.98,3.96E-03,
423.19,4.00E-03,
423.41,4.02E-03,
423.63,4.04E-03,
423.85,4.07E-03,
424.06,4.09E-03,
424.28,4.13E-03,
424.5,4.16E-03,
424.72,4.20E-03,
424.93,4.22E-03,
425.15,4.24E-03,
425.37,4.26E-03,
425.58,4.28E-03,
425.8,4.33E-03,
426.02,4.34E-03,
426.24,4.37E-03,
426.45,4.38E-03,
426.67,4.41E-03,
426.89,4.42E-03,
427.11,4.44E-03,
427.32,4.46E-03,
427.54,4.50E-03,
427.76,4.51E-03,
427.97,4.53E-03,
428.19,4.58E-03,
428.41,4.61E-03,
428.62,4.63E-03,
428.84,4.66E-03,
429.06,4.69E-03,
429.28,4.71E-03,
429.49,4.73E-03,
429.71,4.77E-03,
429.93,4.82E-03,
430.14,4.85E-03,
430.36,4.89E-03,
430.58,4.94E-03,
430.79,4.98E-03,
431.01,5.02E-03,
431.23,5.04E-03,
431.45,5.06E-03,
431.66,5.08E-03,
431.88,5.09E-03,
432.1,5.10E-03,
432.31,5.13E-03,
432.53,5.15E-03,
432.75,5.19E-03,
432.96,5.24E-03,
433.18,5.29E-03,
433.4,5.36E-03,
433.61,5.46E-03,
433.83,5.62E-03,
434.05,5.80E-03,
434.26,5.87E-03,
434.48,5.87E-03,
434.7,5.80E-03,
